departamento;id;value
05;05002;Abejorral
54;54003;Ábrego
05;05004;Abriaquí
50;50006;Acacías
27;27006;Acandí
41;41006;Acevedo
13;13006;Achí
41;41013;Agrado
25;25001;Agua de Dios
20;20011;Aguachica
68;68013;Aguada
17;17013;Aguadas
85;85010;Aguazul
20;20013;Agustín Codazzi
41;41016;Aipe
52;52019;Albán
25;25019;Albán
68;68020;Albania
44;44035;Albania
18;18029;Albania
76;76020;Alcalá
52;52022;Aldana
05;05021;Alejandría
47;47030;Algarrobo
41;41020;Algeciras
19;19022;Almaguer
15;15022;Almeida
73;73024;Alpujarra
41;41026;Altamira
27;27025;Alto Baudó
13;13030;Altos del Rosario
73;73026;Alvarado
05;05030;Amagá
05;05031;Amalfi
73;73030;Ambalema
25;25035;Anapoima
52;52036;Ancuyá
76;76036;Andalucía
05;05034;Andes
05;05036;Angelópolis
05;05038;Angostura
25;25040;Anolaima
05;05040;Anorí
17;17042;Anserma
76;76041;Ansermanuevo
05;05044;Anzá
73;73043;Anzoátegui
05;05045;Apartadó
66;66045;Apía
25;25599;Apulo
15;15047;Aquitania
47;47053;Aracataca
17;17050;Aranzazu
68;68051;Aratoca
81;81001;Arauca
81;81065;Arauquita
25;25053;Arbeláez
52;52051;Arboleda
54;54051;Arboledas
05;05051;Arboletes
15;15051;Arcabuco
13;13042;Arenal
76;76054;Argelia
19;19050;Argelia
05;05055;Argelia
47;47058;Ariguaní
13;13052;Arjona
63;63001;Armenia
05;05059;Armenia
73;73055;Armero
13;13062;Arroyohondo
20;20032;Astrea
73;73067;Ataco
27;27050;Atrato
23;23068;Ayapel
27;27073;Bagadó
27;27075;Bahía Solano
27;27077;Bajo Baudó
66;66075;Balboa
19;19075;Balboa
08;08078;Baranoa
41;41078;Baraya
52;52079;Barbacoas
68;68077;Barbosa
05;05079;Barbosa
68;68079;Barichara
50;50110;Barranca de Upía
68;68081;Barrancabermeja
44;44078;Barrancas
13;13074;Barranco de Loba
94;94343;Barranco Minas
08;08001;Barranquilla
20;20045;Becerril
17;17088;Belalcázar
52;52083;Belén
15;15087;Belén
18;18094;Belén de Los Andaquíes
66;66088;Belén de Umbría
05;05088;Bello
05;05086;Belmira
25;25086;Beltrán
15;15090;Berbeo
05;05091;Betania
15;15092;Betéitiva
68;68092;Betulia
05;05093;Betulia
25;25095;Bituima
15;15097;Boavita
54;54099;Bochalema
11;11001;Bogotá D.C.
25;25099;Bojacá
27;27099;Bojayá
76;76100;Bolívar
68;68101;Bolívar
19;19100;Bolívar
20;20060;Bosconia
15;15104;Boyacá
15;15106;Briceño
05;05107;Briceño
68;68001;Bucaramanga
54;54109;Bucarasica
76;76109;Buenaventura
70;70110;Buenavista
63;63111;Buenavista
23;23079;Buenavista
15;15109;Buenavista
19;19110;Buenos Aires
52;52110;Buesaco
76;76113;Bugalagrande
05;05113;Buriticá
15;15114;Busbanzá
68;68121;Cabrera
25;25120;Cabrera
50;50124;Cabuyaro
94;94886;Cacahual
05;05120;Cáceres
25;25123;Cachipay
54;54128;Cáchira
54;54125;Cácota
05;05125;Caicedo
76;76122;Caicedonia
70;70124;Caimito
73;73124;Cajamarca
19;19130;Cajibío
25;25126;Cajicá
95;95015;Calamar
13;13140;Calamar
63;63130;Calarcá
15;15131;Caldas
05;05129;Caldas
19;19137;Caldono
76;76001;Cali
68;68132;California
76;76126;Calima
19;19142;Caloto
05;05134;Campamento
08;08137;Campo de La Cruz
41;41132;Campoalegre
15;15135;Campohermoso
23;23090;Canalete
76;76130;Candelaria
08;08141;Candelaria
13;13160;Cantagallo
05;05138;Cañasgordas
25;25148;Caparrapí
68;68147;Capitanejo
25;25151;Cáqueza
05;05142;Caracolí
05;05145;Caramanta
68;68152;Carcasí
05;05147;Carepa
73;73148;Carmen de Apicalá
25;25154;Carmen de Carupa
27;27150;Carmen del Darién
05;05150;Carolina
13;13001;Cartagena de Indias
18;18150;Cartagena del Chairá
76;76147;Cartago
97;97161;Carurú
73;73152;Casabianca
50;50150;Castilla La Nueva
05;05154;Caucasia
68;68160;Cepitá
23;23162;Cereté
15;15162;Cerinza
68;68162;Cerrito
47;47161;Cerro de San Antonio
27;27160;Cértegui
52;52240;Chachagüí
25;25168;Chaguaní
70;70230;Chalán
85;85015;Chámeza
73;73168;Chaparral
68;68167;Charalá
68;68169;Charta
25;25175;Chía
05;05172;Chigorodó
68;68176;Chima
23;23168;Chimá
20;20175;Chimichagua
54;54172;Chinácota
15;15172;Chinavita
17;17174;Chinchiná
23;23182;Chinú
25;25178;Chipaque
68;68179;Chipatá
15;15176;Chiquinquirá
15;15232;Chíquiza
20;20178;Chiriguaná
15;15180;Chiscas
15;15183;Chita
54;54174;Chitagá
15;15185;Chitaraque
15;15187;Chivatá
47;47170;Chivolo
15;15236;Chivor
25;25181;Choachí
25;25183;Chocontá
13;13188;Cicuco
47;47189;Ciénaga
23;23189;Ciénaga de Oro
15;15189;Ciénega
68;68190;Cimitarra
63;63190;Circasia
05;05190;Cisneros
05;05101;Ciudad Bolívar
13;13222;Clemencia
05;05197;Cocorná
73;73200;Coello
25;25200;Cogua
41;41206;Colombia
86;86219;Colón
52;52203;Colón
70;70204;Colosó
15;15204;Cómbita
68;68207;Concepción
05;05206;Concepción
47;47205;Concordia
05;05209;Concordia
27;27205;Condoto
68;68209;Confines
52;52207;Consacá
52;52210;Contadero
68;68211;Contratación
54;54206;Convención
05;05212;Copacabana
15;15212;Coper
63;63212;Córdoba
52;52215;Córdoba
13;13212;Córdoba
19;19212;Corinto
68;68217;Coromoro
70;70215;Corozal
15;15215;Corrales
25;25214;Cota
23;23300;Cotorra
15;15218;Covarachía
70;70221;Coveñas
73;73217;Coyaima
81;81220;Cravo Norte
52;52224;Cuaspúd
15;15223;Cubará
50;50223;Cubarral
15;15224;Cucaita
25;25224;Cucunubá
54;54223;Cucutilla
15;15226;Cuítiva
50;50226;Cumaral
99;99773;Cumaribo
52;52227;Cumbal
52;52233;Cumbitara
73;73226;Cunday
18;18205;Curillo
68;68229;Curití
20;20228;Curumaní
05;05234;Dabeiba
76;76233;Dagua
44;44090;Dibulla
44;44098;Distracción
73;73236;Dolores
05;05237;Donmatías
66;66170;Dosquebradas
15;15238;Duitama
54;54239;Durania
05;05240;Ebéjico
76;76243;El Águila
05;05250;El Bagre
47;47245;El Banco
76;76246;El Cairo
50;50245;El Calvario
27;27135;El Cantón del San Pablo
54;54245;El Carmen
27;27245;El Carmen de Atrato
13;13244;El Carmen de Bolívar
68;68235;El Carmen de Chucurí
05;05148;El Carmen de Viboral
50;50251;El Castillo
76;76248;El Cerrito
52;52250;El Charco
15;15244;El Cocuy
25;25245;El Colegio
20;20238;El Copey
18;18247;El Doncello
50;50270;El Dorado
76;76250;El Dovio
91;91263;El Encanto
15;15248;El Espino
